CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
Nitte University - [NITTE],https://zollege.in/university/184943-nitte-university-nitte-mangalore,"Mangalore, Karnataka | UGC, MHRD Accredited",B.Sc (Medicine),₹ 14.08 Lakhs,M.Sc (Medicine),₹ 1.43 Lakhs,NIRFranking 65 out of 201 in 2023,7.9/10 (20 Reviews)
"University of Kerala, University College Of Engineering Kariavattom",https://zollege.in/college/188187-university-of-kerala-university-college-of-engineering-kariavattom-thiruvananthapuram,"Thiruvananthapuram, Kerala",BE/B.Tech,₹ 36.75 K,,,IIRFranking 159 out of 170 in 2023,7.2/10 (2 Reviews)
Siddhant College of Pharmacy Sudumbare,https://zollege.in/college/169327-siddhant-college-of-pharmacy-sudumbare-pune,"Pune, Maharashtra | AICTE, PCI Accredited",B.Pharm,₹ 1 Lakhs,M.Pharm,₹ 1 Lakhs,,
IFIM Law School,https://zollege.in/college/215773-ifim-law-school-bangalore,"Bangalore, Karnataka | BCI Accredited",LLB,₹ 2 Lakhs,,,ranking 7 out of 30 in 2023,7/10 (1 Reviews)
Maeer's MIT College of Railway Engineering and Research - [MITCORER],https://zollege.in/college/219121-maeers-mit-college-of-railway-engineering-and-research-mitcorer-barshi,"Barshi, Maharashtra | AICTE Accredited",BE/B.Tech,₹ 65.5 K,,,IIRFranking 140 out of 166 in 2023,7.8/10 (2 Reviews)
K.S.R. Institute of Dental Science and Research,https://zollege.in/college/214776-ksr-institute-of-dental-science-and-research-tiruchengodu,"Tiruchengodu, Tamil Nadu | DCI Accredited",BDS,₹ 2.5 Lakhs,,,ranking 55 out of 61 in 2023,
Babasaheb Bhimrao Ambedkar University - [BBAU],https://zollege.in/university/185243-babasaheb-bhimrao-ambedkar-university-bbau-lucknow,"Lucknow, Uttar Pradesh | UGC, MHRD Accredited",B.Sc,₹ 47.8 K,M.Sc,₹ 10.8 K,NIRFranking 42 out of 201 in 2023,6.5/10 (15 Reviews)
Shangrila Institute of Hotel Management,https://zollege.in/college/221742-shangrila-institute-of-hotel-management-vijayawada,"Vijayawada, Andhra Pradesh",PG Diploma in Hotel Management,₹ 50 K,Graduate Diploma in Hotel Management,₹ 55 K,,
Horticultural College and Research Institute - [HC&RI],https://zollege.in/college/165950-horticultural-college-and-research-institute-hcandri-periyakulam,"Periyakulam, Tamil Nadu | AICTE Accredited",B.Sc (Agriculture),₹ 57.15 K,M.Sc (Agriculture),₹ 60.63 K,,
"University Institute of Technology, University Of Burdwan - [UIT]",https://zollege.in/college/183876-university-institute-of-technology-university-of-burdwan-uit-bardhaman,"Bardhaman, West Bengal | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 71.2 K,ME/M.Tech,₹ 26 K,IIRFranking 160 out of 170 in 2023,6.9/10 (7 Reviews)
Sri Venkateshwara College of Pharmacy,https://zollege.in/college/169395-sri-venkateshwara-college-of-pharmacy-hyderabad,"Hyderabad, Telangana | AICTE, PCI Accredited",B.Pharm,₹ 55 K,M.Phil/Ph.D in Pharmacy,₹ 93 K,,
Nizam's Institute of Medical Sciences - [NIMS],https://zollege.in/university/187642-nizams-institute-of-medical-sciences-nims-hyderabad,"Hyderabad, Telangana | MCI, UGC Accredited",Master of Physiotherapy(MPT),₹ 1.66 Lakhs,PG Diploma in Medical,₹ 50 K,,7.7/10 (1 Reviews)
Jalpaiguri Government Engineering College - [JGEC],https://zollege.in/college/205029-jalpaiguri-government-engineering-college-jgec-jalpaiguri,"Jalpaiguri, West Bengal | AICTE, NBA Accredited",BE/B.Tech,₹ 14.88 K,ME/M.Tech,₹ 51.92 K,IIRFranking 161 out of 170 in 2023,8.1/10 (39 Reviews)
SMJN College,https://zollege.in/college/163217-smjn-college-haridwar,"Haridwar, Uttarakhand",BA,₹ 1.31 K,MA,₹ 10.72 K,,
Bilaspur University- [BU],https://zollege.in/university/215963-bilaspur-university-bu-bilaspur,"Bilaspur, Chhattisgarh | UGC, AIU Accredited",B.Sc,₹ 13.41 K,M.Sc,₹ 33.41 K,,7.3/10 (2 Reviews)
Guru Nanak Institute of Technology - [GNIT],https://zollege.in/college/172983-guru-nanak-institute-of-technology-gnit-khanapur,"Khanapur, Telangana | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 1.29 Lakhs,ME/M.Tech,₹ 80.5 K,NIRF Innovationranking 101 out of 312 in 2023,7.3/10 (9 Reviews)
Rizvi College of Architecture,https://zollege.in/college/164984-rizvi-college-of-architecture-mumbai,"Mumbai, Maharashtra | AICTE Accredited",B.Arch,₹ 1.3 Lakhs,M.Arch,₹ 1.25 Lakhs,IIRFranking 22 out of 45 in 2024,
Dr. Ram Manohar Lohia Avadh University - [RMLAU],https://zollege.in/university/185256-dr-ram-manohar-lohia-avadh-university-rmlau-faizabad,"Faizabad, Uttar Pradesh | AICTE, UGC Accredited",MA,₹ 21.45 K,M.Phil/Ph.D in Arts,₹ 23.7 K,,8.2/10 (8 Reviews)
SRM College of Pharmacy,https://zollege.in/college/214280-srm-college-of-pharmacy-kanchipuram,"Kanchipuram, Tamil Nadu | PCI Accredited",B.Pharm,₹ 2 Lakhs,M.Pharm,₹ 1.5 Lakhs,NIRFranking 14 out of 75 in 2019,
ICFAI University,https://zollege.in/university/185071-icfai-university-dimapur,"Dimapur, Nagaland | UGC, AIU Accredited",BA,₹ 52 K,MA,₹ 52 K,ranking 115 out of 146 in 2021,
Indian Institute of Hotel Management and Culinary Arts - [IIHMCA],https://zollege.in/college/167270-indian-institute-of-hotel-management-and-culinary-arts-iihmca-hyderabad,"Hyderabad, Telangana",BHM,₹ 1.25 Lakhs,,,,
ESIC Medical College,https://zollege.in/college/217206-esic-medical-college-faridabad,"Faridabad, Haryana | MCI Accredited",MBBS,₹ 1 Lakhs,MD,₹ 2.5 Lakhs,,7.6/10 (3 Reviews)
Kavayitri Bahinabai Chaudhari North Maharashtra University,https://zollege.in/university/185038-kavayitri-bahinabai-chaudhari-north-maharashtra-university-jalgaon,"Jalgaon, Maharashtra | UGC Accredited",B.Sc,₹ 17.7 K,M.Sc,₹ 6.7 K,NIRFranking 151 out of 200 in 2022,
Sunder Deep Group of Institutions - [SDGI],https://zollege.in/college/219587-sunder-deep-group-of-institutions-sdgi-ghaziabad,"Ghaziabad, Uttar Pradesh | AICTE, PCI, BCI Accredited",BE/B.Tech,₹ 70 K,ME/M.Tech,₹ 70 K,IIRFranking 143 out of 166 in 2023,4.5/10 (2 Reviews)
Guru Kashi University,https://zollege.in/university/185104-guru-kashi-university-bathinda,"Bathinda, Punjab | NCTE, AICTE, UGC Accredited",M.Phil/Ph.D in Arts,₹ 40.57 K,MA,₹ 23.4 K,IIRFranking 96 out of 171 in 2023,8.2/10 (2 Reviews)
Barkatullah University Institute of Technology - [BUIT],https://zollege.in/college/187579-barkatullah-university-institute-of-technology-buit-bhopal,"Bhopal, Madhya Pradesh | AICTE Accredited",BE/B.Tech,₹ 47.78 K,ME/M.Tech,₹ 51.45 K,IIRFranking 163 out of 170 in 2023,6.7/10 (1 Reviews)
Avanthi Institute of Pharmaceutical Sciences,https://zollege.in/college/217699-avanthi-institute-of-pharmaceutical-sciences-vizianagaram,"Vizianagaram, Andhra Pradesh | AICTE, PCI Accredited",B.Pharm,₹ 55 K,M.Phil/Ph.D in Pharmacy,₹ 2 Lakhs,,3.7/10 (1 Reviews)
Shri Guru Ram Rai PG College,https://zollege.in/college/163680-shri-guru-ram-rai-pg-college-dehradun,"Dehradun, Uttarakhand",MA,₹ 1.97 K,BA,₹ 1.89 K,,
P.U. Swami Sarvanand Giri Regional Centre - [PUSSGRC],https://zollege.in/college/219554-pu-swami-sarvanand-giri-regional-centre-pussgrc-hoshiarpur,"Hoshiarpur, Punjab",BE/B.Tech,₹ 87.76 K,,,IIRFranking 164 out of 170 in 2023,9.1/10 (5 Reviews)
SKN College of Agriculture,https://zollege.in/college/166032-skn-college-of-agriculture-jaipur,"Jaipur, Rajasthan",B.Sc (Agriculture),₹ 53.79 K,M.Sc (Agriculture),₹ 72.01 K,NIRFranking 189 out of 201 in 2023,
Sant Gadge Baba Amravati University - [SGBAU],https://zollege.in/university/185043-sant-gadge-baba-amravati-university-sgbau-amravati,"Amravati, Maharashtra",M.Sc,₹ 3.76 K,M.Phil/Ph.D in Science,₹ 48 K,,3/10 (1 Reviews)
L.S. Raheja College of Arts and Commerce,https://zollege.in/college/161839-ls-raheja-college-of-arts-and-commerce-mumbai,"Mumbai, Maharashtra",BA,₹ 7.5 K,,,ranking 52 out of 120 in 2020,8.3/10 (1 Reviews)
Bhagwant University,https://zollege.in/university/185120-bhagwant-university-ajmer,"Ajmer, Rajasthan | NCTE, AICTE, PCI, BCI, UGC Accredited",BE/B.Tech,₹ 84.5 K,M.Phil/Ph.D in Engineering,₹ 62 K,IIRFranking 107 out of 171 in 2023,7.5/10 (3 Reviews)
Guru Ravidas Ayurved University,https://zollege.in/university/219743-guru-ravidas-ayurved-university-hoshiarpur,"Hoshiarpur, Punjab | UGC Accredited",BAMS,₹ 1.05 Lakhs,BHMS,₹ 1.29 Lakhs,,8/10 (1 Reviews)
Francis Xavier Engineering College,https://zollege.in/college/172795-francis-xavier-engineering-college-tirunelveli,"Tirunelveli, Tamil Nadu | AICTE, NBA Accredited",BE/B.Tech,₹ 2.2 Lakhs,ME/M.Tech,₹ 50 K,NIRF Innovationranking 51 out of 312 in 2023,10/10 (1 Reviews)
Jodhpur Institute of Hotel Management - [JIHM],https://zollege.in/college/218813-jodhpur-institute-of-hotel-management-jihm-jodhpur,"Jodhpur, Rajasthan | NCHMCT Accredited",BHM,₹ 1.08 Lakhs,Diploma in Hotel Management,₹ 51.6 K,The Weekranking 30 out of 50 in 2019,10/10 (1 Reviews)
Shri Rawatpura Sarkar Institute of Pharmacy - [SRSIP],https://zollege.in/college/217709-shri-rawatpura-sarkar-institute-of-pharmacy-srsip-durg,"Durg, Chhattisgarh | AICTE, PCI Accredited",B.Pharm,₹ 58.8 K,M.Pharm,₹ 72.4 K,,
Feroze Gandhi Institute of Engineering and Technology - [FGIET],https://zollege.in/college/172784-feroze-gandhi-institute-of-engineering-and-technology-fgiet-rae-bareli,"Rae Bareli, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 87.71 K,,,IIRFranking 165 out of 170 in 2023,5.4/10 (3 Reviews)
NIMS University,https://zollege.in/university/185154-nims-university-jaipur,"Jaipur, Rajasthan | DCI, COA, PCI, INC, MCI Accredited",B.Sc,₹ 50 K,M.Sc,₹ 60 K,NIRFranking 151 out of 200 in 2022,7/10 (14 Reviews)
Marian College Kuttikanam,https://zollege.in/college/175356-marian-college-kuttikanam-peermade,"Peermade, Kerala | AICTE Accredited",M.Com,No Fees Found,M.Phil/Ph.D in Commerce,No Fees Found,NIRFranking 151 out of 200 in 2023,6.9/10 (5 Reviews)
